body_part,name,goal,equipment,video_url
스트레칭,폼롤러 IT밴드 스트레치,유산소,소도구,https://youtube.com/shorts/TbFnlEMGp3A?si=HvcWbUXQKGk3lWMp
스트레칭,코브라 스트레치,유산소,맨몸,https://youtube.com/shorts/BOse-gomuJo?si=WjYQkrk-rL_6uphN
스트레칭,월드 그레이트 스트레치,유산소,맨몸,https://youtube.com/shorts/nmqBAK4jgAA?si=1C3zoOiAbd16NEMd
스트레칭,캣카우,유산소,맨몸,https://youtube.com/shorts/29g0enwnAIc?si=qQjTYSrtzF_Us2sR
스트레칭,사이드 런지 스트레치,유산소,맨몸,https://youtube.com/shorts/QltAnzj8MSY?si=46jp1Kn3_YiPPjZf
스트레칭,다운 독,유산소,맨몸,https://youtube.com/shorts/qxM_cFO9-I0?si=loNoFW4lz2FP9O8a
힙,바벨 힙 쓰러스트,웨이트,헬스장,https://youtube.com/shorts/4QM3TaOqm-o?si=c7rJCHo6Y9CU-d9V
힙,루마니안 데드리프트,웨이트,헬스장,https://youtube.com/shorts/f5YwjonCq4M?si=iJd2QoxYcsbRN48q
힙,스쿼트,웨이트,헬스장,https://youtube.com/shorts/Qv14U61QFss?si=42_6dC0sZdJSofUM
힙,힙 어브덕션 머신,웨이트,헬스장,https://youtube.com/shorts/JPReUTCYYn0?si=STRP4Rc00KuSytYY
힙,케이블 킥백,웨이트,헬스장,https://youtube.com/shorts/y22avGKp_4k?si=xpCFSfNdWXh24RGk
힙,밴드 힙 브릿지,웨이트,소도구,https://youtube.com/shorts/FK9E0iNzU3g?si=0nOwYwzzfAbHrfU4
힙,밴드 사이드 워크,웨이트,소도구,https://youtube.com/shorts/9Qq3sjWFXYI?si=TKiHN0szqk6saq-K
힙,덤벨 스텝업,웨이트,소도구,https://youtube.com/shorts/ctxq9DExS2U?si=B9q0cVVfIVC4bvXG
힙,덤벨 불가리안 스플릿 스쿼트,웨이트,소도구,https://youtube.com/shorts/7gw_sxVfQW0?si=BedBSMSC06Oe96VK
힙,힙 브릿지,웨이트,맨몸,https://youtube.com/shorts/B31LVwR83JY?si=MVF8vFoYgsKPYILW
힙,싱글 레그 브릿지,웨이트,맨몸,https://youtube.com/shorts/Mj1a8l3oP8o?si=p3IrYYB2ett5KzjP
힙,힙 익스텐션,웨이트,맨몸,https://youtube.com/shorts/yYTrep_Pi5s?si=Yd9w1lirzKg8YWDk
힙,파이어 하이드런트,웨이트,맨몸,https://youtube.com/shorts/h6m2bPt1J-w?si=s7g4pHufoqEjSzPj
등,시티드 로우,웨이트,헬스장,https://youtube.com/shorts/K1iMPxJKCn8?si=wOylHHA82VqhlSWM
등,랫 풀 다운,웨이트,헬스장,https://youtube.com/shorts/9gcxemxEVF4?si=fWKSLEFV8f_58H5G
등,레터럴 로우,웨이트,헬스장,https://youtube.com/shorts/PiI_b7aPraM?si=KqkqOOK2BwrCdMdb
등,바벨 로우,웨이트,헬스장,https://youtube.com/shorts/wuM_ayYZeSg?si=lyvvYfMmEYG5k13u
등,인버티드 로우,웨이트,맨몸,https://youtube.com/shorts/UmL5KPXR-8g?si=hcZspvt2LvtLYWX_
등,하이퍼 익스텐션,웨이트,맨몸,https://youtube.com/shorts/TV0wEpjRHF0?si=XRcZ26J2w6O-IFoB
등,데드리프트,웨이트,헬스장,https://youtube.com/shorts/sfc9WqYTsEA?si=iUHbNOFkKusF8Uwm
등,턱걸이,웨이트,맨몸,https://youtube.com/shorts/Ka1uGBFHoRU?si=lj3L6hW1-3QzS3zd
등,T바 로우,웨이트,헬스장,https://youtube.com/shorts/klIbn0_hOxs?si=Uq8QsB4xHORjsQ4n
등,프라임 미 로우,웨이트,헬스장,https://youtube.com/shorts/RCzifMI8VUw?si=ZAEvzc0oRjIbG09i
등,인클라인 덤벨 로우,웨이트,헬스장,https://youtube.com/shorts/cEMhp024rA4?si=_IXOBnf7RYeYO6_w
등,투 암 덤벨 로우,웨이트,소도구,https://youtube.com/shorts/UWnG9gO71j0?si=oeafY87pqSL3ZzRR
등,원 암 덤벨 로우,웨이트,소도구,https://youtube.com/shorts/DZpyy_eE4uo?si=lIuNbvBJG0SYbUK2
어깨,머신 숄더 프레스,웨이트,헬스장,https://youtube.com/shorts/3uKTMnHYQGg?si=Tq4IseF5nm0cm-Og
어깨,리버스 펙텍 플라이,웨이트,헬스장,https://youtube.com/shorts/h0f5fz7gRJ8?si=-eOIcwIwrtA3Ziv2
어깨,오버 헤드 프레스,웨이트,헬스장,https://youtube.com/shorts/ueJUAhAfc7s?si=nyveTyfEMFutH27E
어깨,벤트 오버 레터럴 레이즈,웨이트,소도구,https://youtube.com/shorts/86xtTCVXWmQ?si=R9R9KPfBClltzZrz
어깨,사이드 레터럴 레이즈,웨이트,소도구,https://youtube.com/shorts/fn4hpVPnwAE?si=k8uYLMd_OMdumHM_
어깨,프론트 레이즈,웨이트,소도구,https://youtube.com/shorts/2YcKukAqMnk?si=b2Cn3g6dPbjZ_Ems
어깨,아놀드 프레스,웨이트,소도구,https://www.youtube.com/shorts/m_ATyqnTDpk
어깨,바이킹 프레스,웨이트,헬스장,https://youtube.com/shorts/np9Gql3PSrg?si=rDw_N8IeGzi8n7Cf
어깨,펙텍 플라이,웨이트,헬스장,https://youtube.com/shorts/HdlYMpVdrZA?si=GMlj0MPlPRMba_8h
어깨,파이크 푸쉬업,웨이트,맨몸,https://youtube.com/shorts/EFxN1SjTf3I?si=_eFoF_EBxga7EJp7
어깨,웨이브 푸쉬업,웨이트,맨몸,https://youtube.com/shorts/AoGP1YsLaA4?si=4EuW-1A7kHJkkA9D
어깨,업라이트 로우,웨이트,헬스장,https://youtube.com/shorts/E5HqYdZEF7E?si=I-5jP0NyX0-GvljL
어깨,타이슨 푸쉬업,웨이트,맨몸,https://youtube.com/shorts/IJfESb9aGyM?si=aolnXlC5mWqKHW5V
어깨,플랭크 원 암 프론트 레이즈,웨이트,맨몸,https://youtu.be/aYh0FsF6I7M?si=4_5cpztRe04akj0f
